"","Data Type","Census Tract","Category","Population"
"74","Total Estimate",970501,"Female","750"
"75","Total Estimate",970501,"Unemployed","65"
"76","Total Estimate",970501,"Unemployed Males","0"
"77","Total Estimate",970501,"Unemployed Females","65"
"78","Total Estimate",970502,"Civilian Labor Force 16 Years and Over","1,172"
"79","Total Estimate",970502,"Employed","1,156"
"80","Total Estimate",970502,"Male","563"
"81","Total Estimate",970502,"Female","593"
"82","Total Estimate",970502,"Unemployed","16"
"83","Total Estimate",970502,"Unemployed Males","11"
"84","Total Estimate",970502,"Unemployed Females","5"
"85","Total Estimate",970503,"Civilian Labor Force 16 Years and Over","1,076"
"86","Total Estimate",970503,"Employed","1,056"
"87","Total Estimate",970503,"Male","515"
"88","Total Estimate",970503,"Female","541"
"89","Total Estimate",970503,"Unemployed","20"
"90","Total Estimate",970503,"Unemployed Males","11"
"91","Total Estimate",970503,"Unemployed Females","9"
"92","Total Estimate",970504,"Civilian Labor Force 16 Years and Over","949"
"93","Total Estimate",970504,"Employed","936"
"94","Total Estimate",970504,"Male","434"
"95","Total Estimate",970504,"Female","502"
"96","Total Estimate",970504,"Unemployed","13"
"97","Total Estimate",970504,"Unemployed Males","13"
"98","Total Estimate",970504,"Unemployed Females","0"
"99","Total Estimate",970601,"Civilian Labor Force 16 Years and Over","503"
"100","Total Estimate",970601,"Employed","500"
"101","Total Estimate",970601,"Male","248"
"102","Total Estimate",970601,"Female","252"
"103","Total Estimate",970601,"Unemployed","3"
"104","Total Estimate",970601,"Unemployed Males","0"
"105","Total Estimate",970601,"Unemployed Females","3"
"106","Total Estimate",970602,"Civilian Labor Force 16 Years and Over","600"
"107","Total Estimate",970602,"Employed","600"
"108","Total Estimate",970602,"Male","349"
"109","Total Estimate",970602,"Female","251"
"110","Total Estimate",970602,"Unemployed","0"
"111","Total Estimate",970602,"Unemployed Males","0"
"112","Total Estimate",970602,"Unemployed Females","0"
"113","Total Estimate",970603,"Civilian Labor Force 16 Years and Over","715"
"114","Total Estimate",970603,"Employed","657"
"115","Total Estimate",970603,"Male","356"
"116","Total Estimate",970603,"Female","301"
"117","Total Estimate",970603,"Unemployed","58"
"118","Total Estimate",970603,"Unemployed Males","18"
"119","Total Estimate",970603,"Unemployed Females","40"
"120","Total Estimate",970606,"Civilian Labor Force 16 Years and Over","1,507"
"121","Total Estimate",970606,"Employed","1,472"
"122","Total Estimate",970606,"Male","833"
"123","Total Estimate",970606,"Female","639"
"124","Total Estimate",970606,"Unemployed","35"
"125","Total Estimate",970606,"Unemployed Males","0"
"126","Total Estimate",970606,"Unemployed Females","35"
"127","Total Estimate",970701,"Civilian Labor Force 16 Years and Over","497"
"128","Total Estimate",970701,"Employed","433"
"129","Total Estimate",970701,"Male","252"
"130","Total Estimate",970701,"Female","181"
"131","Total Estimate",970701,"Unemployed","64"
"132","Total Estimate",970701,"Unemployed Males","3"
"133","Total Estimate",970701,"Unemployed Females","61"
"134","Total Estimate",970702,"Civilian Labor Force 16 Years and Over","2,013"
"135","Total Estimate",970702,"Employed","1,819"
"136","Total Estimate",970702,"Male","996"
"137","Total Estimate",970702,"Female","823"
"138","Total Estimate",970702,"Unemployed","194"
"139","Total Estimate",970702,"Unemployed Males","49"
"140","Total Estimate",970702,"Unemployed Females","145"
"141","Total Estimate",970703,"Civilian Labor Force 16 Years and Over","2,065"
"142","Total Estimate",970703,"Employed","1,883"
"143","Total Estimate",970703,"Male","893"
"144","Total Estimate",970703,"Female","990"
"145","Total Estimate",970703,"Unemployed","182"
"146","Total Estimate",970703,"Unemployed Males","120"
"147","Total Estimate",970703,"Unemployed Females","62"
"148","Total Estimate",970704,"Civilian Labor Force 16 Years and Over","948"
"149","Total Estimate",970704,"Employed","910"
"150","Total Estimate",970704,"Male","570"
"151","Total Estimate",970704,"Female","340"
"152","Total Estimate",970704,"Unemployed","38"
"153","Total Estimate",970704,"Unemployed Males","31"
"154","Total Estimate",970704,"Unemployed Females","7"
"155","Total Estimate",970801,"Civilian Labor Force 16 Years and Over","1,454"
"156","Total Estimate",970801,"Employed","1,290"
"157","Total Estimate",970801,"Male","633"
"158","Total Estimate",970801,"Female","657"
"159","Total Estimate",970801,"Unemployed","164"
"160","Total Estimate",970801,"Unemployed Males","133"
"161","Total Estimate",970801,"Unemployed Females","31"
"162","Total Estimate",970804,"Civilian Labor Force 16 Years and Over","1,977"
"163","Total Estimate",970804,"Employed","1,893"
"164","Total Estimate",970804,"Male","1,056"
"165","Total Estimate",970804,"Female","837"
"166","Total Estimate",970804,"Unemployed","84"
"167","Total Estimate",970804,"Unemployed Males","60"
"168","Total Estimate",970804,"Unemployed Females","24"
"169","Total Estimate",970805,"Civilian Labor Force 16 Years and Over","736"
"170","Total Estimate",970805,"Employed","715"
"171","Total Estimate",970805,"Male","406"
"172","Total Estimate",970805,"Female","309"
"173","Total Estimate",970805,"Unemployed","21"
"174","Total Estimate",970805,"Unemployed Males","9"
"175","Total Estimate",970805,"Unemployed Females","12"
"176","Total Estimate",970806,"Civilian Labor Force 16 Years and Over","1,938"
"177","Total Estimate",970806,"Employed","1,891"
"178","Total Estimate",970806,"Male","971"
"179","Total Estimate",970806,"Female","920"
"180","Total Estimate",970806,"Unemployed","47"
"181","Total Estimate",970806,"Unemployed Males","37"
"182","Total Estimate",970806,"Unemployed Females","10"
"183","Total Estimate",970903,"Civilian Labor Force 16 Years and Over","508"
"184","Total Estimate",970903,"Employed","504"
"185","Total Estimate",970903,"Male","275"
"186","Total Estimate",970903,"Female","229"
"187","Total Estimate",970903,"Unemployed","4"
"188","Total Estimate",970903,"Unemployed Males","4"
"189","Total Estimate",970903,"Unemployed Females","0"
"190","Total Estimate",970904,"Civilian Labor Force 16 Years and Over","1,135"
"191","Total Estimate",970904,"Employed","1,059"
"192","Total Estimate",970904,"Male","549"
"193","Total Estimate",970904,"Female","510"
"194","Total Estimate",970904,"Unemployed","76"
"195","Total Estimate",970904,"Unemployed Males","54"
"196","Total Estimate",970904,"Unemployed Females","22"
"197","Total Estimate",971003,"Civilian Labor Force 16 Years and Over","712"
"198","Total Estimate",971003,"Employed","682"
"199","Total Estimate",971003,"Male","427"
"200","Total Estimate",971003,"Female","255"
"201","Total Estimate",971003,"Unemployed","30"
"202","Total Estimate",971003,"Unemployed Males","20"
"203","Total Estimate",971003,"Unemployed Females","10"
"204","Total Estimate",971103,"Civilian Labor Force 16 Years and Over","681"
"205","Total Estimate",971103,"Employed","670"
"206","Total Estimate",971103,"Male","406"
"207","Total Estimate",971103,"Female","264"
"208","Total Estimate",971103,"Unemployed","11"
"209","Total Estimate",971103,"Unemployed Males","5"
"210","Total Estimate",971103,"Unemployed Females","6"
