Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Census Tract 9701.02, Carteret County, North Carolina!!Percent!!Estimate",,(X),0.00%,52.60%,38.20%,9.20%,(X),1.40%,8.30%,38.60%,21.40%,18.00%,8.30%,4.10%,90.40%,12.40%,(X),100.00%,19.30%,(X),100.00%,13.70%,(X),90.00%,6.20%,(X),86.40%,17.60%,,(X),92.10%,12.20%,(X),92.10%,11.90%,(X),100.00%,41.70%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),28.30%,0.00%,(X),100.00%,32.10%,,4.70%,2.60%,2.90%,2.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.02, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±37.7,±41.7,±47.6,±24.6,(X),±1.7,±4.2,±9.3,±6.2,±6.7,±4.2,±2.3,±4.3,±4.9,(X),±21.2,±22.8,(X),±19.5,±12.1,(X),±8.4,±4.4,(X),±8.8,±10.1,,(X),±4.3,±4.7,(X),±4.3,±4.5,(X),±54.8,±38.1,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±42.5,±42.5,(X),±62.2,±30.7,,±6.6,±3.0,±2.9,±3.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.02, Carteret County, North Carolina!!Male!!Estimate",,33,0,33,0,0,882,24,95,347,223,119,39,35,763,74,102,102,8,61,61,0,430,364,11,289,236,55,,845,743,74,836,734,65,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,9,9,9,,(X),(X),(X),(X),,"52,284",-,"50,647","54,028",-,-
"Census Tract 9701.02, Carteret County, North Carolina!!Male!!Margin of Error",,±39,±13,±39,±13,±13,±157,±33,±59,±106,±125,±73,±30,±29,±165,±41,±74,±74,±14,±41,±41,±13,±120,±110,±15,±107,±107,±35,,±154,±164,±41,±160,±170,±38,±18,±18,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±25,±10,±13,±17,±17,±17,,(X),(X),(X),(X),,"±6,590",**,"±12,985","±16,722",**,**
"Census Tract 9701.02, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,100.00%,0.00%,0.00%,(X),2.70%,10.80%,39.30%,25.30%,13.50%,4.40%,4.00%,86.50%,8.40%,(X),100.00%,7.80%,(X),100.00%,0.00%,(X),84.70%,2.60%,(X),81.70%,19.00%,,(X),87.90%,8.80%,(X),87.80%,7.80%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),32.00%,0.00%,(X),100.00%,100.00%,,7.60%,5.80%,1.80%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.02, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±57.3,±57.3,±57.3,±57.3,(X),±3.8,±6.7,±10.6,±11.9,±8.1,±3.6,±3.2,±7.2,±4.9,(X),±31.3,±16.6,(X),±42.1,±42.1,(X),±13.0,±3.5,(X),±15.1,±14.0,,(X),±7.5,±5.1,(X),±7.6,±4.5,(X),±95.0,±95.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±54.2,±65.8,(X),±100.0,±100.0,,±11.0,±6.9,±2.5,±38.2,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.02, Carteret County, North Carolina!!Female!!Estimate",,43,0,7,29,7,"1,110",3,70,421,203,240,126,47,"1,037",173,64,64,24,122,122,25,442,421,43,482,430,81,,"1,051","1,004",158,"1,041",994,158,24,24,15,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,19,19,0,,(X),(X),(X),(X),,"28,427",-,"16,933","41,094","35,921","67,841"
"Census Tract 9701.02, Carteret County, North Carolina!!Female!!Margin of Error",,±45,±13,±11,±47,±15,±252,±6,±53,±234,±71,±128,±70,±34,±259,±75,±59,±59,±30,±61,±61,±25,±213,±212,±27,±133,±135,±49,,±254,±261,±65,±258,±264,±65,±40,±40,±26,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±34,±14,±13,±22,±22,±13,,(X),(X),(X),(X),,"±12,335",**,"±16,361","±31,096","±26,300","±33,109"
"Census Tract 9701.02, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,16.30%,67.40%,16.30%,(X),0.30%,6.30%,37.90%,18.30%,21.60%,11.40%,4.20%,93.40%,15.60%,(X),100.00%,37.50%,(X),100.00%,20.50%,(X),95.20%,9.70%,(X),89.20%,16.80%,,(X),95.50%,15.00%,(X),95.50%,15.20%,(X),100.00%,62.50%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),25.70%,0.00%,(X),100.00%,0.00%,,0.00%,0.00%,3.80%,2.90%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.02, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±50.2,±29.3,±56.8,±44.5,(X),±0.6,±5.0,±15.1,±7.5,±10.9,±6.6,±3.2,±5.1,±7.5,(X),±41.1,±43.5,(X),±27.3,±20.4,(X),±6.9,±7.8,(X),±10.3,±11.2,,(X),±4.8,±7.1,(X),±4.9,±7.2,(X),±67.2,±19.5,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±40.4,±55.6,(X),±75.5,±75.5,,±38.5,±9.1,±4.9,±4.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.03, Carteret County, North Carolina!!Total!!Estimate",,176,24,144,8,0,"2,014",43,132,675,581,201,260,122,"1,839",382,254,228,0,204,191,64,998,907,193,558,513,125,,"1,985","1,810",370,"1,985","1,810",370,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,17,17,0,0,0,0,,(X),(X),(X),(X),,"32,754",-,"25,038","35,313","43,882","110,086"
"Census Tract 9701.03, Carteret County, North Carolina!!Total!!Margin of Error",,±124,±27,±124,±13,±13,±294,±31,±115,±202,±135,±102,±109,±69,±264,±121,±129,±113,±13,±114,±114,±57,±220,±205,±89,±135,±133,±56,,±297,±267,±119,±297,±267,±119,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±20,±20,±20,±20,±20,±13,±13,±13,±13,,(X),(X),(X),(X),,"±6,354",**,"±13,323","±12,939","±14,770","±64,738"
"Census Tract 9701.03, Carteret County, North Carolina!!Percent!!Estimate",,(X),13.60%,81.80%,4.50%,0.00%,(X),2.10%,6.60%,33.50%,28.80%,10.00%,12.90%,6.10%,91.30%,19.00%,(X),89.80%,0.00%,(X),93.60%,31.40%,(X),90.90%,19.30%,(X),91.90%,22.40%,,(X),91.20%,18.60%,(X),91.20%,18.60%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,0.00%,(X),-,-,,66.30%,17.80%,18.50%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.03, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±20.2,±22.0,±8.5,±20.2,(X),±1.5,±5.4,±7.6,±6.2,±5.2,±5.1,±3.5,±5.4,±5.7,(X),±10.6,±14.5,(X),±10.9,±18.4,(X),±10.0,±8.4,(X),±5.8,±10.8,,(X),±5.5,±5.6,(X),±5.5,±5.6,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±95.0,±95.0,(X),±79.8,±79.8,(X),**,**,,±29.4,±11.1,±8.5,±9.9,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.03, Carteret County, North Carolina!!Male!!Estimate",,131,14,117,0,0,997,43,80,343,273,84,115,59,874,174,165,139,0,93,80,29,480,426,75,259,229,70,,982,859,162,982,859,162,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,3,3,0,0,0,0,,(X),(X),(X),(X),,"39,306",-,"35,909","43,700","55,870",-
"Census Tract 9701.03, Carteret County, North Carolina!!Male!!Margin of Error",,±101,±22,±101,±13,±13,±194,±31,±71,±146,±102,±47,±60,±46,±172,±72,±103,±91,±13,±67,±66,±36,±121,±114,±57,±67,±60,±38,,±192,±171,±69,±192,±171,±69,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±20,±20,±20,±6,±6,±13,±13,±13,±13,,(X),(X),(X),(X),,"±9,440",**,"±22,937","±27,574","±12,677",**
"Census Tract 9701.03, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),10.70%,89.30%,0.00%,0.00%,(X),4.30%,8.00%,34.40%,27.40%,8.40%,11.50%,5.90%,87.70%,17.50%,(X),84.20%,0.00%,(X),86.00%,31.20%,(X),88.80%,15.60%,(X),88.40%,27.00%,,(X),87.50%,16.50%,(X),87.50%,16.50%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,0.00%,(X),-,-,,64.20%,15.50%,19.30%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.03, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±20.3,±20.3,±25.8,±25.8,(X),±3.1,±6.7,±11.8,±8.7,±5.2,±6.4,±4.4,±7.0,±7.2,(X),±17.4,±21.3,(X),±24.5,±39.5,(X),±11.2,±11.5,(X),±8.0,±15.8,,(X),±7.1,±7.0,(X),±7.1,±7.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±95.0,±95.0,(X),±100.0,±100.0,(X),**,**,,±29.4,±20.4,±12.0,±20.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9701.03, Carteret County, North Carolina!!Female!!Estimate",,45,10,27,8,0,"1,017",0,52,332,308,117,145,63,965,208,89,89,0,111,111,35,518,481,118,299,284,55,,"1,003",951,208,"1,003",951,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,,(X),(X),(X),(X),,"23,750",-,"19,063","30,714","36,027",-
"Census Tract 9701.03, Carteret County, North Carolina!!Female!!Margin of Error",,±43,±16,±38,±13,±13,±144,±13,±55,±131,±81,±70,±85,±42,±136,±95,±57,±57,±13,±59,±59,±46,±111,±105,±69,±111,±113,±34,,±147,±140,±95,±147,±140,±95,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±21,±21,±13,±13,±13,±13,,(X),(X),(X),(X),,"±11,149",**,"±5,116","±12,765","±20,277",**
